Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human chromosome/scaffold name	Human chromosome/scaffold start (bp)	Human chromosome/scaffold end (bp)
ENSMUSG00000026523	Wdr64	ENSG00000162843	WDR64	1	241652278	241802133
ENSMUSG00000046006	Gapt	ENSG00000175857	GAPT	5	58491435	58497090
ENSMUSG00000060742	Olfr1076	ENSG00000280314	OR8K3	11	56315144	56320639
ENSMUSG00000017299	Dnttip1	ENSG00000101457	DNTTIP1	20	45791954	45811427
ENSMUSG00000108398	Gm30191	ENSG00000282872	C1orf232	1	26164161	26168581
ENSMUSG00000074916	Chst14	ENSG00000169105	CHST14	15	40470998	40474571
ENSMUSG00000002897	Il17ra	ENSG00000177663	IL17RA	22	17084954	17115694
ENSMUSG00000038011	Dnah10	ENSG00000197653	DNAH10	12	123762188	123936206
ENSMUSG00000003352	Cacnb3	ENSG00000167535	CACNB3	12	48813794	48828941
ENSMUSG00000044469	Tnfaip8l1	ENSG00000185361	TNFAIP8L1	19	4639516	4655568
ENSMUSG00000039982	Dtx4	ENSG00000110042	DTX4	11	59171430	59208588
ENSMUSG00000039983	Ccdc32	ENSG00000128891	CCDC32	15	40528683	40565057
ENSMUSG00000034402	Kcnh5	ENSG00000140015	KCNH5	14	62699464	63102037
ENSMUSG00000024892	Pcx	ENSG00000173599	PC	11	66848417	66958439
ENSMUSG00000094626	Tmem121b	ENSG00000183307	TMEM121B	22	17116299	17121367
ENSMUSG00000031831	Dnaaf1	ENSG00000154099	DNAAF1	16	84145287	84178767
ENSMUSG00000021484	Lman2	ENSG00000169223	LMAN2	5	177331567	177351668
ENSMUSG00000022175	Lrp10	ENSG00000197324	LRP10	14	22871740	22881713
ENSMUSG00000043154	Ppp2r3a	ENSG00000073711	PPP2R3A	3	135965728	136147894
ENSMUSG00000006599	Gtf2h1	ENSG00000110768	GTF2H1	11	18322295	18367045
ENSMUSG00000055835	Zfp1	ENSG00000184517	ZFP1	16	75148494	75172236
ENSMUSG00000022940	Pigp	ENSG00000185808	PIGP	21	37059170	37073170
ENSMUSG00000020792	Exoc7	ENSG00000182473	EXOC7	17	76081016	76121576
ENSMUSG00000050397	Foxl2	ENSG00000183770	FOXL2	3	138944224	138947137
ENSMUSG00000033068	Entpd6	ENSG00000197586	ENTPD6	20	25195693	25226729
ENSMUSG00000079563	Pglyrp2	ENSG00000161031	PGLYRP2	19	15468645	15498956
ENSMUSG00000051864	Tbc1d22a	ENSG00000054611	TBC1D22A	22	46762617	47175699
ENSMUSG00000026568	Mpc2	ENSG00000143158	MPC2	1	167916675	167937072
ENSMUSG00000030652	Coq7	ENSG00000167186	COQ7	16	19067614	19080095
ENSMUSG00000055471	Alk	ENSG00000171094	ALK	2	29192774	29921586
ENSMUSG00000027544	Nfatc2	ENSG00000101096	NFATC2	20	51386957	51562831
ENSMUSG00000051452	Gm11437	ENSG00000278505	C17orf78	17	37375986	37392708
ENSMUSG00000036983	Tfb1m	ENSG00000029639	TFB1M	6	155256134	155314493
ENSMUSG00000024691	Fam111a	ENSG00000166801	FAM111A	11	59142748	59155039
ENSMUSG00000034744	Nagk	ENSG00000124357	NAGK	2	71064344	71079808
ENSMUSG00000058979	Hdhd5	ENSG00000069998	HDHD5	22	17137511	17165287
ENSMUSG00000020532	Acaca	ENSG00000278540	ACACA	17	37084992	37406836
ENSMUSG00000068009	Bpifb6	ENSG00000167104	BPIFB6	20	33031648	33044047
ENSMUSG00000008496	Pou2f2	ENSG00000028277	POU2F2	19	42086110	42196585
ENSMUSG00000035298	Klhl35	ENSG00000149243	KLHL35	11	75422394	75430629
ENSMUSG00000024985	Tcf7l2	ENSG00000148737	TCF7L2	10	112950247	113167678
ENSMUSG00000023800	Tiam2	ENSG00000146426	TIAM2	6	154832697	155257723
ENSMUSG00000019579	Mydgf	ENSG00000074842	MYDGF	19	4641374	4670370
ENSMUSG00000058626	Capn11	ENSG00000137225	CAPN11	6	44158811	44184401
ENSMUSG00000030516	Tjp1	ENSG00000104067	TJP1	15	29699367	29968865
ENSMUSG00000041870	Ankrd13a	ENSG00000076513	ANKRD13A	12	109999186	110039763
ENSMUSG00000047248	C2cd3	ENSG00000168014	C2CD3	11	74012714	74171210
ENSMUSG00000000214	Th	ENSG00000180176	TH	11	2163929	2171877
ENSMUSG00000005360	Slc1a3	ENSG00000079215	SLC1A3	5	36606355	36688334
ENSMUSG00000019437	Tlcd1	ENSG00000160606	TLCD1	17	28724348	28727935
ENSMUSG00000001403	Ube2c	ENSG00000175063	UBE2C	20	45812576	45816957
ENSMUSG00000030744	Rps3	ENSG00000149273	RPS3	11	75399515	75422280
ENSMUSG00000032807	Alox12b	ENSG00000179477	ALOX12B	17	8072636	8087716
ENSMUSG00000038708	Golga4	ENSG00000144674	GOLGA4	3	37243177	37366751
ENSMUSG00000004328	Hif3a	ENSG00000124440	HIF3A	19	46297046	46343433
ENSMUSG00000029072	Tas1r3	ENSG00000169962	TAS1R3	1	1331280	1335314
ENSMUSG00000061360	Phf5a	ENSG00000100410	PHF5A	22	41459717	41468692
ENSMUSG00000079020	Slc45a4	ENSG00000022567	SLC45A4	8	141207166	141308305
ENSMUSG00000029071	Dvl1	ENSG00000107404	DVL1	1	1335276	1349418
ENSMUSG00000030364	Clec2h	ENSG00000069493	CLEC2D	12	9664969	9699553
ENSMUSG00000000805	Car4	ENSG00000167434	CA4	17	60149942	60170899
ENSMUSG00000028167	Bdh2	ENSG00000164039	BDH2	4	103077592	103099870
ENSMUSG00000025326	Ube3a	ENSG00000114062	UBE3A	15	25333728	25439051
ENSMUSG00000062937	Mtap	ENSG00000264545	AL359922.1	9	21802636	22029594
ENSMUSG00000000916	Nsun5	ENSG00000130305	NSUN5	7	73302517	73308867
ENSMUSG00000017300	Tnnc2	ENSG00000101470	TNNC2	20	45823214	45833745
ENSMUSG00000068008	Bpifb3	ENSG00000186190	BPIFB3	20	33055424	33073628
ENSMUSG00000053765	Oas1f	ENSG00000089127	AC004551.1	12	112906783	112933222
ENSMUSG00000045948	Mrps12	ENSG00000128626	MRPS12	19	38930548	38933162
ENSMUSG00000018412	Kansl1	ENSG00000120071	KANSL1	17	46029916	46225389
ENSMUSG00000031696	Vps35	ENSG00000069329	VPS35	16	46656132	46689518
ENSMUSG00000050565	Tor1aip2	ENSG00000169905	TOR1AIP2	1	179839967	179877803
ENSMUSG00000027322	Siglec1	ENSG00000088827	SIGLEC1	20	3686970	3707128
ENSMUSG00000028737	Aldh4a1	ENSG00000159423	ALDH4A1	1	18871430	18902724
ENSMUSG00000021890	Eaf1	ENSG00000144597	EAF1	3	15427598	15450635
ENSMUSG00000032024	Clmp	ENSG00000166250	CLMP	11	123069872	123195248
ENSMUSG00000006724	Cyp27b1	ENSG00000111012	CYP27B1	12	57762334	57768986
ENSMUSG00000068327	Tlx2	ENSG00000115297	TLX2	2	74513463	74517148
ENSMUSG00000028868	Wasf2	ENSG00000158195	WASF2	1	27404230	27490167
ENSMUSG00000022218	Tgm1	ENSG00000092295	TGM1	14	24249114	24264432
ENSMUSG00000024266	Adad2	ENSG00000140955	ADAD2	16	84191138	84197168
ENSMUSG00000058546	Rpl23a	ENSG00000198242	RPL23A	17	28719985	28724359
ENSMUSG00000021891	Mettl6	ENSG00000206562	METTL6	3	15381275	15440566
ENSMUSG00000028738	Tas1r2	ENSG00000179002	TAS1R2	1	18839599	18859682
ENSMUSG00000041890	Git2	ENSG00000139436	GIT2	12	109929802	109996389
ENSMUSG00000053293	Pom121	ENSG00000196313	POM121	7	72879365	72951440
ENSMUSG00000053293	Pom121	ENSG00000272391	POM121C	7	75416786	75486299
ENSMUSG00000022445	Cyp2d26	ENSG00000205702	CYP2D7	22	42140203	42149455
ENSMUSG00000022445	Cyp2d26	ENSG00000100197	CYP2D6	22	42126499	42130881
ENSMUSG00000019102	Aldh3a1	ENSG00000108602	ALDH3A1	17	19737984	19748943
ENSMUSG00000029189	Sel1l3	ENSG00000091490	SEL1L3	4	25747433	25863760
ENSMUSG00000094439	Gm21969	ENSG00000169991	IFFO2	1	18904280	18956676
ENSMUSG00000020427	Igfbp3	ENSG00000146674	IGFBP3	7	45912245	45921874
ENSMUSG00000026413	Pkp1	ENSG00000081277	PKP1	1	201283452	201332993
ENSMUSG00000019856	Fam184a	ENSG00000111879	FAM184A	6	118959763	119149387
ENSMUSG00000009248	Ascl2	ENSG00000183734	ASCL2	11	2268495	2270952
ENSMUSG00000041025	Iffo2	ENSG00000169991	IFFO2	1	18904280	18956676
ENSMUSG00000038733	Wdr26	ENSG00000162923	WDR26	1	224385143	224437033
ENSMUSG00000039748	Exo1	ENSG00000174371	EXO1	1	241847967	241895148
ENSMUSG00000000131	Xpo6	ENSG00000169180	XPO6	16	28097979	28211920
ENSMUSG00000053641	Dennd4a	ENSG00000174485	DENND4A	15	65658046	65792293
ENSMUSG00000042246	Tmc7	ENSG00000170537	TMC7	16	18983934	19063942
ENSMUSG00000026466	Tor1aip1	ENSG00000143337	TOR1AIP1	1	179882042	179925000
ENSMUSG00000045045	Lrfn4	ENSG00000173621	LRFN4	11	66856647	66860475
ENSMUSG00000026839	Upp2	ENSG00000007001	UPP2	2	157876702	158136154
ENSMUSG00000031766	Slc12a3	ENSG00000070915	SLC12A3	16	56865207	56915850
ENSMUSG00000050105	Grrp1	ENSG00000197245	FAM110D	1	26159079	26163962
ENSMUSG00000037446	Tulp1	ENSG00000112041	TULP1	6	35497874	35512896
ENSMUSG00000062510	Nsl1	ENSG00000117697	NSL1	1	212726153	212791782
ENSMUSG00000001751	Naglu	ENSG00000108784	NAGLU	17	42536241	42544449
ENSMUSG00000022033	Pbk	ENSG00000168078	PBK	8	27809624	27838082
ENSMUSG00000031697	Orc6	ENSG00000091651	ORC6	16	46689643	46698394
ENSMUSG00000044320	1700001O22Rik	ENSG00000179058	C9orf50	9	129612225	129620776
ENSMUSG00000033491	Prss35	ENSG00000146250	PRSS35	6	83512534	83525704
ENSMUSG00000025017	Pik3ap1	ENSG00000155629	PIK3AP1	10	96593315	96720514
ENSMUSG00000001334	Fndc5	ENSG00000160097	FNDC5	1	32862268	32872482
ENSMUSG00000000244	Tspan32	ENSG00000064201	TSPAN32	11	2301997	2318200
ENSMUSG00000001229	Dpp9	ENSG00000142002	DPP9	19	4675224	4724673
ENSMUSG00000026630	Batf3	ENSG00000123685	BATF3	1	212686417	212699840
ENSMUSG00000039770	Ypel5	ENSG00000119801	YPEL5	2	30146941	30160533
ENSMUSG00000021701	Plk2	ENSG00000145632	PLK2	5	58453982	58460139
ENSMUSG00000091530	Cldn20	ENSG00000171217	CLDN20	6	155264013	155276548
ENSMUSG00000031004	Mki67	ENSG00000148773	MKI67	10	128096659	128126423
ENSMUSG00000020888	Dvl2	ENSG00000004975	DVL2	17	7225342	7234517
ENSMUSG00000026833	Olfm1	ENSG00000130558	OLFM1	9	135075422	135121179
ENSMUSG00000028572	Hook1	ENSG00000134709	HOOK1	1	59814786	59876370
ENSMUSG00000030718	Ppme1	ENSG00000214517	PPME1	11	74171267	74254703
ENSMUSG00000018909	Arrb1	ENSG00000137486	ARRB1	11	75260122	75351705
ENSMUSG00000095538	Gm21983	ENSG00000268975	MIA-RAB4B	19	40771648	40796943
ENSMUSG00000095538	Gm21983	ENSG00000261857	MIA	19	40771648	40777490
ENSMUSG00000036352	Ubac1	ENSG00000130560	UBAC1	9	135932969	135961380
ENSMUSG00000094806	Cyp2d10	ENSG00000205702	CYP2D7	22	42140203	42149455
ENSMUSG00000094806	Cyp2d10	ENSG00000100197	CYP2D6	22	42126499	42130881
ENSMUSG00000040690	Col16a1	ENSG00000084636	COL16A1	1	31652263	31704319
ENSMUSG00000089661	Mia	ENSG00000268975	MIA-RAB4B	19	40771648	40796943
ENSMUSG00000089661	Mia	ENSG00000261857	MIA	19	40771648	40777490
ENSMUSG00000033059	Pygb	ENSG00000100994	PYGB	20	25248085	25298012
ENSMUSG00000070699	Sars2	ENSG00000269547	AC011455.2	19	38915404	38949855
ENSMUSG00000070699	Sars2	ENSG00000104835	SARS2	19	38915266	38930896
ENSMUSG00000045246	Kcng4	ENSG00000168418	KCNG4	16	84218667	84239750
ENSMUSG00000040123	Zmym5	ENSG00000132950	ZMYM5	13	19823482	19863649
ENSMUSG00000053291	Rab4b	ENSG00000167578	RAB4B	19	40778216	40796942
ENSMUSG00000053291	Rab4b	ENSG00000171570	RAB4B-EGLN2	19	40778242	40808418
ENSMUSG00000074665	Bpifb4	ENSG00000186191	BPIFB4	20	33079644	33111751
ENSMUSG00000034432	Cops8	ENSG00000198612	COPS8	2	237085882	237100474
ENSMUSG00000041852	Tcf20	ENSG00000100207	TCF20	22	42160013	42343616
ENSMUSG00000019301	Hsd17b1	ENSG00000108786	HSD17B1	17	42549214	42555213
ENSMUSG00000014791	Elmo3	ENSG00000102890	ELMO3	16	67199111	67204029
ENSMUSG00000073802	Cdkn2b	ENSG00000147883	CDKN2B	9	22002903	22009305
ENSMUSG00000022553	Maf1	ENSG00000179632	MAF1	8	144104461	144107611
ENSMUSG00000061461	Smim20	ENSG00000250317	SMIM20	4	25861830	25929874
ENSMUSG00000032942	Ucp3	ENSG00000175564	UCP3	11	74000277	74009085
ENSMUSG00000040163	1700034J05Rik	ENSG00000214700	C12orf71	12	27081058	27082514
ENSMUSG00000027324	Rpusd2	ENSG00000166133	RPUSD2	15	40569299	40574949
ENSMUSG00000031957	Ctrb1	ENSG00000168925	CTRB1	16	75219000	75226338
ENSMUSG00000031957	Ctrb1	ENSG00000168928	CTRB2	16	75204103	75207161
ENSMUSG00000091017	Fam71a	ENSG00000162771	FAM71A	1	212624474	212626778
ENSMUSG00000022176	Rem2	ENSG00000139890	REM2	14	22883222	22887678
ENSMUSG00000024446	Rpp21	ENSG00000241370	RPP21	6	30345131	30346884
ENSMUSG00000053465	Hs6st3	ENSG00000185352	HS6ST3	13	96090839	96839562
ENSMUSG00000016487	Ppfibp1	ENSG00000110841	PPFIBP1	12	27523431	27695564
ENSMUSG00000003184	Irf3	ENSG00000126456	IRF3	19	49659569	49665875
ENSMUSG00000018882	Mrpl45	ENSG00000278845	MRPL45	17	38297023	38323217
ENSMUSG00000001755	Coasy	ENSG00000068120	COASY	17	42561467	42566277
ENSMUSG00000051236	Msrb3	ENSG00000174099	MSRB3	12	65278643	65491430
ENSMUSG00000031955	Bcar1	ENSG00000050820	BCAR1	16	75228181	75268053
ENSMUSG00000020074	Ccar1	ENSG00000060339	CCAR1	10	68721012	68792377
ENSMUSG00000042622	Maff	ENSG00000185022	MAFF	22	38200767	38216507
ENSMUSG00000063683	Glyat	ENSG00000149124	GLYAT	11	58640426	58731974
ENSMUSG00000070337	Gpr179	ENSG00000277399	GPR179	17	38325530	38343847
ENSMUSG00000026514	Cnih3	ENSG00000143786	CNIH3	1	224434660	224740554
ENSMUSG00000037994	Slc9b2	ENSG00000164038	SLC9B2	4	103019868	103085829
ENSMUSG00000000804	Usp32	ENSG00000170832	USP32	17	60177327	60422470
ENSMUSG00000000804	Usp32	ENSG00000129204	USP6	17	5116438	5175034
ENSMUSG00000045409	Trim39	ENSG00000204599	TRIM39	6	30326479	30343729
ENSMUSG00000040037	Negr1	ENSG00000172260	NEGR1	1	71395943	72282539
ENSMUSG00000038485	Socs7	ENSG00000274211	SOCS7	17	38351844	38405593
ENSMUSG00000042015	Wdr41	ENSG00000164253	WDR41	5	77425970	77620611
ENSMUSG00000102252	Snrpn	ENSG00000128739	SNRPN	15	24823637	24978723
ENSMUSG00000018574	Acadvl	ENSG00000072778	ACADVL	17	7217125	7225266
ENSMUSG00000104158	Gm38100	ENSG00000196289	BECN2	1	241957767	241959062
ENSMUSG00000043683	Fem1a	ENSG00000141965	FEM1A	19	4791681	4801273
ENSMUSG00000032463	Faim	ENSG00000158234	FAIM	3	138608606	138633376
ENSMUSG00000026455	Klhl12	ENSG00000117153	KLHL12	1	202891116	202928636
ENSMUSG00000001168	Oas1h	ENSG00000089127	AC004551.1	12	112906783	112933222
ENSMUSG00000054863	Tafa5	ENSG00000219438	TAFA5	22	48489460	48850912
ENSMUSG00000020471	Pold2	ENSG00000106628	POLD2	7	44114681	44124358
ENSMUSG00000026564	Dusp27	ENSG00000198842	DUSP27	1	167094045	167129165
ENSMUSG00000026353	Ubxn4	ENSG00000144224	UBXN4	2	135741734	135785056
ENSMUSG00000078184	Rbm8a2	ENSG00000265241	RBM8A	1	145917714	145927678
ENSMUSG00000049807	Arhgap23	ENSG00000275832	ARHGAP23	17	38419280	38512385
ENSMUSG00000054612	Mgmt	ENSG00000170430	MGMT	10	129467190	129770983
ENSMUSG00000055214	Pld5	ENSG00000180287	PLD5	1	242082986	242524696
ENSMUSG00000021636	Marveld2	ENSG00000152939	MARVELD2	5	69415065	69444330
ENSMUSG00000023336	Wfdc1	ENSG00000103175	WFDC1	16	84294846	84329844
ENSMUSG00000038563	Efl1	ENSG00000140598	EFL1	15	82130233	82262734
ENSMUSG00000050373	Snx21	ENSG00000124104	SNX21	20	45833799	45843276
ENSMUSG00000042459	Bpifa2	ENSG00000131050	BPIFA2	20	33161768	33181412
ENSMUSG00000102627	Snurf	ENSG00000273173	SNURF	15	24954986	24977850
ENSMUSG00000102627	Snurf	ENSG00000214265	AC124312.1	15	24955034	25000276
ENSMUSG00000020850	Prpf8	ENSG00000174231	PRPF8	17	1650629	1684867
ENSMUSG00000000948	Gm38393	ENSG00000273173	SNURF	15	24954986	24977850
ENSMUSG00000000948	Gm38393	ENSG00000214265	AC124312.1	15	24955034	25000276
ENSMUSG00000017801	Mlx	ENSG00000108788	MLX	17	42567068	42573239
ENSMUSG00000044819	Oxgr1	ENSG00000165621	OXGR1	13	96985719	96994730
ENSMUSG00000017307	Acot8	ENSG00000101473	ACOT8	20	45841721	45857405
ENSMUSG00000074643	Cpne1	ENSG00000214078	CPNE1	20	35626031	35664956
ENSMUSG00000020473	Aebp1	ENSG00000106624	AEBP1	7	44104345	44114562
ENSMUSG00000027160	Ccdc34	ENSG00000109881	CCDC34	11	27330827	27363234
ENSMUSG00000038116	Phf20	ENSG00000025293	PHF20	20	35771974	35950370
ENSMUSG00000003190	Bcl2l12	ENSG00000126453	BCL2L12	19	49665142	49673916
ENSMUSG00000047237	Fbxw21	ENSG00000164049	FBXW12	3	48372219	48401259
ENSMUSG00000030787	Lyve1	ENSG00000133800	LYVE1	11	10556966	10611689
ENSMUSG00000024063	Lbh	ENSG00000213626	LBH	2	30231534	30323730
ENSMUSG00000056553	Ptprn2	ENSG00000155093	PTPRN2	7	157539056	158587823
ENSMUSG00000061536	Sec22c	ENSG00000093183	SEC22C	3	42547969	42601080
ENSMUSG00000033540	Idua	ENSG00000127415	IDUA	4	986997	1004564
ENSMUSG00000031387	Renbp	ENSG00000102032	RENBP	X	153935269	153944687
ENSMUSG00000030805	Stx4a	ENSG00000103496	STX4	16	31032889	31042975
ENSMUSG00000025825	Iscu	ENSG00000136003	ISCU	12	108562582	108569384
ENSMUSG00000034647	Ankrd12	ENSG00000101745	ANKRD12	18	9136228	9285985
ENSMUSG00000020891	Alox8	ENSG00000179593	ALOX15B	17	8039034	8049134
ENSMUSG00000003360	Ddx23	ENSG00000174243	DDX23	12	48829756	48852842
ENSMUSG00000023032	Slc4a8	ENSG00000050438	SLC4A8	12	51391317	51515763
ENSMUSG00000038880	Mrps34	ENSG00000074071	MRPS34	16	1771890	1773155
ENSMUSG00000047123	Ticam1	ENSG00000127666	TICAM1	19	4815932	4831704
ENSMUSG00000020185	E2f7	ENSG00000165891	E2F7	12	77021248	77065569
ENSMUSG00000073436	Eme2	ENSG00000197774	EME2	16	1773207	1781708
ENSMUSG00000024197	Plin3	ENSG00000105355	PLIN3	19	4838341	4867694
ENSMUSG00000045822	Zswim3	ENSG00000132801	ZSWIM3	20	45857614	45879122
ENSMUSG00000031770	Herpud1	ENSG00000051108	HERPUD1	16	56932142	56944864
ENSMUSG00000069678	Pcgf1	ENSG00000115289	PCGF1	2	74505043	74507695
ENSMUSG00000039146	Ifi44l	ENSG00000137959	IFI44L	1	78619922	78646145
ENSMUSG00000017767	Spata25	ENSG00000149634	SPATA25	20	45886489	45887635
ENSMUSG00000018479	1700125H20Rik	ENSG00000141371	C17orf64	17	60392429	60431426
ENSMUSG00000041679	Lrrc29	ENSG00000125122	LRRC29	16	67207139	67227048
ENSMUSG00000005354	Txn2	ENSG00000100348	TXN2	22	36467046	36481640
ENSMUSG00000031954	Cfdp1	ENSG00000153774	CFDP1	16	75293698	75433503
ENSMUSG00000074793	Hspa12b	ENSG00000132622	HSPA12B	20	3732685	3753111
ENSMUSG00000017764	Zswim1	ENSG00000168612	ZSWIM1	20	45881227	45885266
ENSMUSG00000020687	Cdc27	ENSG00000004897	CDC27	17	47117703	47189422
ENSMUSG00000073380	Arrdc5	ENSG00000205784	ARRDC5	19	4890437	4902867
ENSMUSG00000024160	Spsb3	ENSG00000162032	SPSB3	16	1776712	1793700
