ENSG	Gene	Chr	Start	End	Source	Type
ENSG00000210184	MT-TS2	chrMT	12207	12265	HGNC Symbol	Mt_tRNA
ENSG00000210191	MT-TL2	chrMT	12266	12336	HGNC Symbol	Mt_tRNA
ENSG00000198786	MT-ND5	chrMT	12337	14148	HGNC Symbol	protein_coding
ENSG00000198695	MT-ND6	chrMT	14149	14673	HGNC Symbol	protein_coding
ENSG00000210194	MT-TE	chrMT	14674	14742	HGNC Symbol	Mt_tRNA
ENSG00000198727	MT-CYB	chrMT	14747	15887	HGNC Symbol	protein_coding
ENSG00000210195	MT-TT	chrMT	15888	15953	HGNC Symbol	Mt_tRNA
ENSG00000210196	MT-TP	chrMT	15956	16023	HGNC Symbol	Mt_tRNA
ENSG00000251841	RNU6-1334P	chrY	2784749	2784853	HGNC Symbol	snRNA
ENSG00000184895	SRY	chrY	2786855	2787682	HGNC Symbol	protein_coding
ENSG00000237659	RNASEH2CP1	chrY	2789827	2790328	HGNC Symbol	processed_pseudogene
ENSG00000232195	TOMM22P2	chrY	2827982	2828218	HGNC Symbol	processed_pseudogene
ENSG00000129824	RPS4Y1	chrY	2841602	2932000	HGNC Symbol	protein_coding
ENSG00000227289	HSFY3P	chrY	2881683	2890551	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000229163	NAP1L1P2	chrY	2929001	2931120	HGNC Symbol	processed_pseudogene
ENSG00000067646	ZFY	chrY	2935281	2982506	HGNC Symbol	protein_coding
ENSG00000233070	ZFY-AS1	chrY	2966844	3002626	HGNC Symbol	lncRNA
ENSG00000223600	EEF1A1P41	chrY	2995067	2995273	HGNC Symbol	processed_pseudogene
ENSG00000231535	LINC00278	chrY	3002887	3200509	HGNC Symbol	lncRNA
ENSG00000234652	AGPAT5P1	chrY	3293808	3294826	HGNC Symbol	processed_pseudogene
ENSG00000216777	PRRC2CP1	chrY	3549652	3549810	HGNC Symbol	processed_pseudogene
ENSG00000176679	TGIF2LY	chrY	3579067	3580041	HGNC Symbol	protein_coding
ENSG00000232927	USP12PY	chrY	3682805	3683868	HGNC Symbol	processed_pseudogene
ENSG00000225653	RNF19BPY	chrY	3777997	3779546	HGNC Symbol	processed_pseudogene
ENSG00000229518	UBE2V1P3	chrY	3866306	3866722	HGNC Symbol	processed_pseudogene
ENSG00000252900	RNU6-303P	chrY	4174985	4175090	HGNC Symbol	snRNA
ENSG00000225878	SERBP1P2	chrY	4801685	4802848	HGNC Symbol	processed_pseudogene
ENSG00000099715	PCDH11Y	chrY	5000226	5742224	HGNC Symbol	protein_coding
ENSG00000252468	RNU2-57P	chrY	5019076	5019266	HGNC Symbol	snRNA
ENSG00000231341	VDAC1P6	chrY	5207215	5208069	HGNC Symbol	processed_pseudogene
ENSG00000235001	EIF4A1P2	chrY	5337745	5338964	HGNC Symbol	processed_pseudogene
ENSG00000214207	KRT18P10	chrY	5573145	5574431	HGNC Symbol	processed_pseudogene
ENSG00000278585	SNX3P1Y	chrY	5634480	5634655	HGNC Symbol	processed_pseudogene
ENSG00000235175	RPL26P37	chrY	5793300	5793737	HGNC Symbol	processed_pseudogene
ENSG00000285470	TUSC2P1	chrY	5887504	5888740	HGNC Symbol	processed_pseudogene
ENSG00000237195	DLGAP5P1	chrY	6158802	6159265	HGNC Symbol	processed_pseudogene
ENSG00000250204	TTTY23B	chrY	6242446	6245283	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000168757	TSPY2	chrY	6246223	6249019	HGNC Symbol	protein_coding
ENSG00000234830	FAM197Y9	chrY	6256267	6265595	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000238235	TSPY11P	chrY	6266593	6269275	HGNC Symbol	unprocessed_pseudogene
ENSG00000234583	TSPY19P	chrY	6303957	6305074	HGNC Symbol	unprocessed_pseudogene
ENSG00000223744	RBMY2GP	chrY	6328052	6343323	HGNC Symbol	unprocessed_pseudogene
ENSG00000229643	LINC00280	chrY	6357219	6369921	HGNC Symbol	lncRNA
ENSG00000129816	TTTY1B	chrY	6390431	6411564	HGNC Symbol	lncRNA
ENSG00000212856	TTTY2B	chrY	6406244	6462091	HGNC Symbol	lncRNA
ENSG00000237563	TTTY21B	chrY	6443434	6450685	HGNC Symbol	lncRNA
ENSG00000147753	TTTY7	chrY	6449468	6457906	HGNC Symbol	lncRNA
ENSG00000185700	TTTY8B	chrY	6470773	6473630	HGNC Symbol	lncRNA
ENSG00000232620	TSPY17P	chrY	6520463	6520929	HGNC Symbol	unprocessed_pseudogene
ENSG00000224953	SRIP3	chrY	6718962	6719180	HGNC Symbol	processed_pseudogene
ENSG00000233634	GOT2P5	chrY	6837707	6838252	HGNC Symbol	processed_pseudogene
ENSG00000099721	AMELY	chrY	6865918	6911774	HGNC Symbol	protein_coding
ENSG00000237701	ATP5PFP1	chrY	6900753	6901372	HGNC Symbol	processed_pseudogene
ENSG00000092377	TBL1Y	chrY	6910686	7101970	HGNC Symbol	protein_coding
ENSG00000232583	GPR143P	chrY	7100733	7106502	HGNC Symbol	unprocessed_pseudogene
ENSG00000099725	PRKY	chrY	7273972	7381548	HGNC Symbol	protein_coding
ENSG00000252633	RN7SKP282	chrY	7324297	7324595	HGNC Symbol	misc_RNA
ENSG00000252155	RNU6-941P	chrY	7378672	7378779	HGNC Symbol	snRNA
ENSG00000252472	RNU6-521P	chrY	7423054	7423158	HGNC Symbol	snRNA
ENSG00000238073	RBMY2HP	chrY	7671743	7676024	HGNC Symbol	unprocessed_pseudogene
ENSG00000236435	TSPY12P	chrY	7687739	7689548	HGNC Symbol	unprocessed_pseudogene
ENSG00000234795	RFTN1P1	chrY	7694707	7810305	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000237048	TTTY12	chrY	7803996	7810683	HGNC Symbol	lncRNA
ENSG00000215603	ZNF92P1Y	chrY	7853686	7854876	HGNC Symbol	processed_pseudogene
ENSG00000244246	ZNF736P8Y	chrY	7913422	7914090	HGNC Symbol	processed_pseudogene
ENSG00000229745	BPY2DP	chrY	7932997	7937640	HGNC Symbol	unprocessed_pseudogene
ENSG00000241200	ZNF736P7Y	chrY	7990987	7991806	HGNC Symbol	processed_pseudogene
ENSG00000239893	ZNF736P9Y	chrY	8068445	8126293	HGNC Symbol	transcribed_processed_pseudogene
ENSG00000227204	RBMY2JP	chrY	8127130	8144203	HGNC Symbol	unprocessed_pseudogene
ENSG00000225809	RBMY2KP	chrY	8264449	8277188	HGNC Symbol	unprocessed_pseudogene
ENSG00000215601	TSPY24P	chrY	8280198	8282209	HGNC Symbol	unprocessed_pseudogene
ENSG00000224634	ZNF736P6Y	chrY	8350931	8352143	HGNC Symbol	processed_pseudogene
ENSG00000223955	MTND6P1	chrY	8363536	8363959	HGNC Symbol	processed_pseudogene
ENSG00000234179	MTCYBP1	chrY	8364032	8365150	HGNC Symbol	processed_pseudogene
ENSG00000226529	MTND1P1	chrY	8371663	8372030	HGNC Symbol	processed_pseudogene
ENSG00000234850	MTND2P3	chrY	8372241	8372710	HGNC Symbol	processed_pseudogene
ENSG00000227830	TRIM60P3Y	chrY	8413037	8414054	HGNC Symbol	processed_pseudogene
ENSG00000216824	ZNF736P10Y	chrY	8418791	8419900	HGNC Symbol	processed_pseudogene
ENSG00000286217	LINC00279	chrY	8550518	8713825	HGNC Symbol	lncRNA
ENSG00000233699	TTTY18	chrY	8682594	8700977	HGNC Symbol	lncRNA
ENSG00000232419	TTTY19	chrY	8704472	8705283	HGNC Symbol	lncRNA
ENSG00000180910	TTTY11	chrY	8783310	8817382	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000231988	OFD1P3Y	chrY	9030594	9039988	HGNC Symbol	unprocessed_pseudogene
ENSG00000232235	CDY3P	chrY	9166085	9167702	HGNC Symbol	processed_pseudogene
ENSG00000224408	USP9YP22	chrY	9183694	9185803	HGNC Symbol	unprocessed_pseudogene
ENSG00000238154	USP9YP4	chrY	9189629	9204611	HGNC Symbol	unprocessed_pseudogene
ENSG00000232924	ELOCP4	chrY	9230915	9231247	HGNC Symbol	processed_pseudogene
ENSG00000197038	RBMY1A3P	chrY	9311130	9322869	HGNC Symbol	unprocessed_pseudogene
ENSG00000232808	TTTY20	chrY	9329880	9334832	HGNC Symbol	lncRNA
ENSG00000233803	TSPY4	chrY	9337464	9340284	HGNC Symbol	protein_coding
ENSG00000225560	FAM197Y8	chrY	9347511	9356814	HGNC Symbol	transcribed_processed_pseudogene
ENSG00000229549	TSPY8	chrY	9357797	9360599	HGNC Symbol	protein_coding
ENSG00000228383	FAM197Y7	chrY	9367803	9375681	HGNC Symbol	lncRNA
ENSG00000188656	TSPY7P	chrY	9378122	9380871	HGNC Symbol	unprocessed_pseudogene
ENSG00000237802	FAM197Y6	chrY	9388122	9396027	HGNC Symbol	lncRNA
ENSG00000228927	TSPY3	chrY	9398421	9401223	HGNC Symbol	protein_coding
ENSG00000225516	FAM197Y5	chrY	9458613	9466003	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000258992	TSPY1	chrY	9466955	9469749	HGNC Symbol	protein_coding
ENSG00000274196	FAM197Y4	chrY	9479053	9486313	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000238074	TSPY9P	chrY	9487313	9489893	HGNC Symbol	protein_coding
ENSG00000230066	FAM197Y3	chrY	9497287	9506596	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000270073	TSPY6P	chrY	9507596	9510175	HGNC Symbol	unprocessed_pseudogene
ENSG00000234803	FAM197Y2	chrY	9517599	9526926	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000236424	TSPY10	chrY	9527880	9530682	HGNC Symbol	protein_coding
ENSG00000224336	FAM197Y1	chrY	9544917	9547147	HGNC Symbol	unprocessed_pseudogene
ENSG00000236786	TSPY15P	chrY	9548108	9550681	HGNC Symbol	unprocessed_pseudogene
ENSG00000231436	RBMY3AP	chrY	9610571	9621276	HGNC Symbol	unprocessed_pseudogene
ENSG00000234110	TSPY25P	chrY	9624183	9626352	HGNC Symbol	unprocessed_pseudogene
ENSG00000226223	TSPY16P	chrY	9640249	9640716	HGNC Symbol	unprocessed_pseudogene
ENSG00000183385	TTTY8	chrY	9691100	9693957	HGNC Symbol	lncRNA
ENSG00000147761	TTTY7B	chrY	9706824	9715262	HGNC Symbol	lncRNA
ENSG00000228890	TTTY21	chrY	9717653	9721296	HGNC Symbol	lncRNA
ENSG00000212855	TTTY2	chrY	9740584	9758476	HGNC Symbol	lncRNA
ENSG00000129845	TTTY1	chrY	9753156	9774289	HGNC Symbol	lncRNA
ENSG00000224075	TTTY22	chrY	9784372	9833895	HGNC Symbol	lncRNA
ENSG00000229208	RBMY2NP	chrY	9831418	9846696	HGNC Symbol	unprocessed_pseudogene
ENSG00000231874	TSPY18P	chrY	9869664	9870781	HGNC Symbol	unprocessed_pseudogene
ENSG00000187657	TSPY13P	chrY	9905595	9908139	HGNC Symbol	unprocessed_pseudogene
ENSG00000239225	TTTY23	chrY	9910798	9911962	HGNC Symbol	lncRNA
ENSG00000234950	RBMY2OP	chrY	9951553	9959423	HGNC Symbol	unprocessed_pseudogene
ENSG00000236718	RBMY2QP	chrY	9954532	10035299	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000243643	TSPY20P	chrY	10036195	10038375	HGNC Symbol	unprocessed_pseudogene
ENSG00000225685	TSPY5P	chrY	10066554	10069151	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000251766	RNA5SP518	chrY	10090410	10090528	HGNC Symbol	rRNA_pseudogene
ENSG00000252289	RNA5SP519	chrY	10092875	10092993	HGNC Symbol	rRNA_pseudogene
ENSG00000231411	DUX4L31	chrY	10171590	10172725	HGNC Symbol	unprocessed_pseudogene
ENSG00000226061	PCMTD1P1	chrY	10173853	10174207	HGNC Symbol	unprocessed_pseudogene
ENSG00000237447	CDC27P2	chrY	10190377	10192298	HGNC Symbol	processed_pseudogene
ENSG00000251705	RNA5-8SP6	chrY	10200155	10200306	HGNC Symbol	rRNA_pseudogene
ENSG00000273693	CDRT15P10	chrY	11085476	11086061	HGNC Symbol	processed_pseudogene
ENSG00000274502	ANKRD20A6P	chrY	11173618	11173821	HGNC Symbol	processed_pseudogene
ENSG00000274162	SNX18P1Y	chrY	11178306	11178816	HGNC Symbol	processed_pseudogene
ENSG00000258567	DUX4L16	chrY	11306918	11308181	HGNC Symbol	unprocessed_pseudogene
ENSG00000259154	DUX4L17	chrY	11314921	11316187	HGNC Symbol	unprocessed_pseudogene
ENSG00000259029	DUX4L18	chrY	11321557	11322823	HGNC Symbol	unprocessed_pseudogene
ENSG00000258991	DUX4L19	chrY	11332329	11333595	HGNC Symbol	unprocessed_pseudogene
ENSG00000270455	PABPC1P5	chrY	11335627	11337693	HGNC Symbol	processed_pseudogene
ENSG00000183704	SLC9B1P1	chrY	11340579	11385687	HGNC Symbol	unprocessed_pseudogene
ENSG00000270242	ACTR3BP1	chrY	11395699	11397076	HGNC Symbol	processed_pseudogene
ENSG00000275828	CHEK2P1	chrY	11412548	11418716	HGNC Symbol	unprocessed_pseudogene
ENSG00000225433	MTND1P12	chrY	11445418	11445564	HGNC Symbol	unprocessed_pseudogene
ENSG00000234385	RCC2P1	chrY	11781052	11782527	HGNC Symbol	processed_pseudogene
ENSG00000215583	ASS1P6	chrY	11922536	11923769	HGNC Symbol	processed_pseudogene
ENSG00000235649	MXRA5Y	chrY	11957208	11987386	HGNC Symbol	unprocessed_pseudogene
ENSG00000206159	GYG2P1	chrY	12088010	12421587	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000236477	RPS24P1	chrY	12244752	12245457	HGNC Symbol	processed_pseudogene
ENSG00000232226	ARSFP1	chrY	12252321	12258033	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000243980	RN7SL702P	chrY	12273473	12273764	HGNC Symbol	misc_RNA
ENSG00000232730	FAM8A4P	chrY	12321623	12322835	HGNC Symbol	processed_pseudogene
ENSG00000224060	ARSLP1	chrY	12339813	12347495	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000225117	ARSDP1	chrY	12354096	12387328	HGNC Symbol	unprocessed_pseudogene
ENSG00000227447	XGY1	chrY	12440046	12507369	HGNC Symbol	unprocessed_pseudogene
ENSG00000114374	USP9Y	chrY	12537650	12860839	HGNC Symbol	protein_coding
ENSG00000226863	SHROOM2P1	chrY	12537773	12544883	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000233774	MED14P1	chrY	12618983	12634402	HGNC Symbol	unprocessed_pseudogene
ENSG00000228411	CDY4P	chrY	12801973	12803830	HGNC Symbol	processed_pseudogene
ENSG00000067048	DDX3Y	chrY	12904108	12920478	HGNC Symbol	protein_coding
ENSG00000234059	CASKP1	chrY	12930165	12948182	HGNC Symbol	unprocessed_pseudogene
ENSG00000224035	SFPQP1	chrY	13083790	13095805	HGNC Symbol	processed_pseudogene
ENSG00000235462	TAB3P1	chrY	13153931	13162214	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000223915	DPPA2P1	chrY	13230884	13231439	HGNC Symbol	processed_pseudogene
ENSG00000183878	UTY	chrY	13248379	13480673	HGNC Symbol	protein_coding
ENSG00000215414	PSMA6P1	chrY	13286638	13287378	HGNC Symbol	processed_pseudogene
ENSG00000154620	TMSB4Y	chrY	13703899	13706024	HGNC Symbol	protein_coding
ENSG00000241859	ANOS2P	chrY	13703902	13915824	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000129864	VCY	chrY	13985772	13986513	HGNC Symbol	protein_coding
ENSG00000129862	VCY1B	chrY	14056227	14056958	HGNC Symbol	protein_coding
ENSG00000235451	PNPLA4P1	chrY	14081075	14086600	HGNC Symbol	unprocessed_pseudogene
ENSG00000165246	NLGN4Y	chrY	14522573	14845650	HGNC Symbol	protein_coding
ENSG00000226555	AGKP1	chrY	14639096	14640358	HGNC Symbol	processed_pseudogene
ENSG00000228787	NLGN4Y-AS1	chrY	14793642	14804033	HGNC Symbol	lncRNA
ENSG00000236131	MED13P1	chrY	14907898	14908068	HGNC Symbol	processed_pseudogene
ENSG00000227949	CYCSP46	chrY	14941547	14941750	HGNC Symbol	processed_pseudogene
ENSG00000234620	PUDPP1	chrY	15348662	15456074	HGNC Symbol	unprocessed_pseudogene
ENSG00000227166	STSP1	chrY	15547216	15593331	HGNC Symbol	unprocessed_pseudogene
ENSG00000252173	RNU6-109P	chrY	16248935	16249041	HGNC Symbol	snRNA
ENSG00000252323	RNU6-184P	chrY	16336283	16336389	HGNC Symbol	snRNA
ENSG00000228518	SURF6P1	chrY	17192826	17193652	HGNC Symbol	processed_pseudogene
ENSG00000271595	ELOCP35	chrY	17464879	17465214	HGNC Symbol	processed_pseudogene
ENSG00000224989	FAM41AY1	chrY	17500958	17515018	HGNC Symbol	lncRNA
ENSG00000228578	TUBB1P2	chrY	17516836	17519038	HGNC Symbol	unprocessed_pseudogene
ENSG00000230663	FAM224B	chrY	17552800	17579754	HGNC Symbol	lncRNA
ENSG00000252315	RNA5SP520	chrY	17557864	17557976	HGNC Symbol	rRNA_pseudogene
ENSG00000252012	RNA5SP521	chrY	17559774	17559889	HGNC Symbol	rRNA_pseudogene
ENSG00000238191	CLUHP1	chrY	17621259	17625832	HGNC Symbol	unprocessed_pseudogene
ENSG00000226353	TAF9P1	chrY	17628513	17629402	HGNC Symbol	processed_pseudogene
ENSG00000226449	CDY5P	chrY	17721598	17723177	HGNC Symbol	unprocessed_pseudogene
ENSG00000225896	ELOCP36	chrY	17726752	17727080	HGNC Symbol	processed_pseudogene
ENSG00000224166	PRYP1	chrY	17729528	17744596	HGNC Symbol	unprocessed_pseudogene
ENSG00000229129	ACTG1P2	chrY	17757001	17758125	HGNC Symbol	processed_pseudogene
ENSG00000250868	XKRY	chrY	17768980	17777400	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000223555	USP9YP23	chrY	17782210	17784815	HGNC Symbol	unprocessed_pseudogene
ENSG00000235521	USP9YP27	chrY	17788315	17789484	HGNC Symbol	unprocessed_pseudogene
ENSG00000252513	RNU1-128P	chrY	17789003	17789162	HGNC Symbol	snRNA
ENSG00000224964	TRAPPC2P3	chrY	17797983	17800696	HGNC Symbol	unprocessed_pseudogene
ENSG00000226011	OFD1P1Y	chrY	17809807	17825329	HGNC Symbol	unprocessed_pseudogene
ENSG00000225740	ELOCP6	chrY	17837201	17837528	HGNC Symbol	processed_pseudogene
ENSG00000129873	CDY2B	chrY	17877410	17880220	HGNC Symbol	protein_coding
ENSG00000229138	CDY6P	chrY	17882099	17883708	HGNC Symbol	unprocessed_pseudogene
ENSG00000224485	USP9YP7	chrY	17908755	17910806	HGNC Symbol	unprocessed_pseudogene
ENSG00000226116	USP9YP6	chrY	17912699	17921630	HGNC Symbol	unprocessed_pseudogene
ENSG00000237558	CDY7P	chrY	17951589	17953500	HGNC Symbol	unprocessed_pseudogene
ENSG00000233378	USP9YP34	chrY	17984349	17993260	HGNC Symbol	unprocessed_pseudogene
ENSG00000237616	USP9YP32	chrY	17995201	17997252	HGNC Symbol	unprocessed_pseudogene
ENSG00000224033	CDY8P	chrY	18022299	18023908	HGNC Symbol	unprocessed_pseudogene
ENSG00000182415	CDY2A	chrY	18025787	18028597	HGNC Symbol	protein_coding
ENSG00000230412	ELOCP12	chrY	18068483	18068810	HGNC Symbol	processed_pseudogene
ENSG00000226611	OFD1P2Y	chrY	18080681	18096202	HGNC Symbol	unprocessed_pseudogene
ENSG00000225895	TRAPPC2P8	chrY	18105314	18108102	HGNC Symbol	unprocessed_pseudogene
ENSG00000233120	USP9YP15	chrY	18116527	18117695	HGNC Symbol	unprocessed_pseudogene
ENSG00000252166	RNU1-95P	chrY	18116848	18117007	HGNC Symbol	snRNA
ENSG00000232744	USP9YP16	chrY	18121195	18123799	HGNC Symbol	unprocessed_pseudogene
ENSG00000244646	XKRY2	chrY	18128610	18137029	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000229465	ACTG1P11	chrY	18147884	18149008	HGNC Symbol	processed_pseudogene
ENSG00000231311	PRYP2	chrY	18161366	18176484	HGNC Symbol	unprocessed_pseudogene
ENSG00000236599	ELOCP26	chrY	18178932	18179260	HGNC Symbol	processed_pseudogene
ENSG00000232899	CDY9P	chrY	18182835	18184414	HGNC Symbol	unprocessed_pseudogene
ENSG00000229302	TAF9P2	chrY	18276607	18277495	HGNC Symbol	processed_pseudogene
ENSG00000228945	CLUHP2	chrY	18280178	18284761	HGNC Symbol	unprocessed_pseudogene
ENSG00000233522	FAM224A	chrY	18326253	18353210	HGNC Symbol	lncRNA
ENSG00000251953	RNA5SP522	chrY	18346123	18346238	HGNC Symbol	rRNA_pseudogene
ENSG00000252667	RNA5SP523	chrY	18348035	18348147	HGNC Symbol	rRNA_pseudogene
ENSG00000249726	TUBB1P1	chrY	18386974	18389151	HGNC Symbol	unprocessed_pseudogene
ENSG00000226362	FAM41AY2	chrY	18390994	18405046	HGNC Symbol	lncRNA
ENSG00000225716	ELOCP13	chrY	18440797	18441125	HGNC Symbol	processed_pseudogene
ENSG00000229406	OFD1P4Y	chrY	18453150	18472137	HGNC Symbol	unprocessed_pseudogene
ENSG00000227494	USP9YP14	chrY	18481087	18487400	HGNC Symbol	unprocessed_pseudogene
ENSG00000252209	RNU1-48P	chrY	18486511	18486672	HGNC Symbol	snRNA
ENSG00000249634	USP9YP5	chrY	18490915	18494295	HGNC Symbol	unprocessed_pseudogene
ENSG00000238067	XKRYP1	chrY	18508577	18509068	HGNC Symbol	unprocessed_pseudogene
ENSG00000233546	PRYP5	chrY	18529358	18529623	HGNC Symbol	unprocessed_pseudogene
ENSG00000230377	ELOCP7	chrY	18532326	18532656	HGNC Symbol	processed_pseudogene
ENSG00000250951	USP9YP1	chrY	18540980	18544128	HGNC Symbol	unprocessed_pseudogene
ENSG00000172468	HSFY1	chrY	18546691	18588963	HGNC Symbol	protein_coding
ENSG00000230458	GPM6BP1	chrY	18578417	18578560	HGNC Symbol	unprocessed_pseudogene
ENSG00000131007	TTTY9B	chrY	18581206	18590521	HGNC Symbol	lncRNA
ENSG00000240438	OFD1P5Y	chrY	18582063	18629077	HGNC Symbol	unprocessed_pseudogene
ENSG00000235479	RAB9AP4	chrY	18649671	18650279	HGNC Symbol	unprocessed_pseudogene
ENSG00000249606	TRAPPC2P7	chrY	18655520	18656190	HGNC Symbol	unprocessed_pseudogene
ENSG00000242153	OFD1P6Y	chrY	18674033	18739197	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000169953	HSFY2	chrY	18731440	18773735	HGNC Symbol	protein_coding
ENSG00000236429	GPM6BP2	chrY	18741843	18741986	HGNC Symbol	unprocessed_pseudogene
ENSG00000176728	TTTY14	chrY	18772706	19077416	HGNC Symbol	lncRNA
ENSG00000249501	USP9YP2	chrY	18776279	18779427	HGNC Symbol	unprocessed_pseudogene
ENSG00000228193	ELOCP14	chrY	18787750	18788080	HGNC Symbol	processed_pseudogene
ENSG00000248573	PRYP6	chrY	18790709	18791051	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000230904	XKRYP2	chrY	18811338	18811829	HGNC Symbol	unprocessed_pseudogene
ENSG00000238135	USP9YP10	chrY	18826107	18829487	HGNC Symbol	unprocessed_pseudogene
ENSG00000224151	USP9YP28	chrY	18833002	18839313	HGNC Symbol	unprocessed_pseudogene
ENSG00000251970	RNU1-41P	chrY	18833729	18833890	HGNC Symbol	snRNA
ENSG00000238088	OFD1P7Y	chrY	18848264	18867280	HGNC Symbol	unprocessed_pseudogene
ENSG00000217179	MTCYBP2	chrY	18872102	18872272	HGNC Symbol	processed_pseudogene
ENSG00000217896	ZNF839P1	chrY	18985175	18986398	HGNC Symbol	processed_pseudogene
ENSG00000185275	CD24P4	chrY	18992467	18992709	HGNC Symbol	processed_pseudogene
ENSG00000252766	RNU6-255P	chrY	19018983	19019087	HGNC Symbol	snRNA
ENSG00000234529	GAPDHP19	chrY	19327569	19328573	HGNC Symbol	processed_pseudogene
ENSG00000215580	BCORP1	chrY	19455431	19567092	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000131002	TXLNGY	chrY	19567313	19606274	HGNC Symbol	transcribed_unprocessed_pseudogene
ENSG00000012817	KDM5D	chrY	19703865	19744939	HGNC Symbol	protein_coding
ENSG00000237997	RCC2P2	chrY	19986575	19987852	HGNC Symbol	processed_pseudogene
ENSG00000232522	ZNF886P	chrY	20001185	20012204	HGNC Symbol	unprocessed_pseudogene
ENSG00000228764	ZNF885P	chrY	20390051	20396796	HGNC Symbol	processed_pseudogene
ENSG00000229236	TTTY10	chrY	20464916	20575519	HGNC Symbol	lncRNA
ENSG00000277438	KDM5DP1	chrY	20570222	20570519	HGNC Symbol	processed_pseudogene
ENSG00000198692	EIF1AY	chrY	20575776	20593154	HGNC Symbol	protein_coding
ENSG00000225624	TBL1YP1	chrY	20727254	20742900	HGNC Symbol	unprocessed_pseudogene
ENSG00000280969	RPS4Y2	chrY	20756108	20781032	HGNC Symbol	protein_coding
ENSG00000224482	HSFY4P	chrY	20808776	20811809	HGNC Symbol	unprocessed_pseudogene
ENSG00000229551	GAPDHP17	chrY	20861337	20862337	HGNC Symbol	processed_pseudogene
