ENSG	Gene	Chr	Start	End	Source	Type
ENSG00000242529	AHCYP8	chr1	248885294	248885502	HGNC Symbol	pseudogene
ENSG00000213735	ANAPC10P1	chr1	52719293	52719848	HGNC Symbol	pseudogene
ENSG00000200408	RNA5SP74	chr1	204531541	204531649	HGNC Symbol	rRNA
ENSG00000224680	PLA2G12AP1	chr1	52834349	52834916	HGNC Symbol	pseudogene
ENSG00000198703	OR10R3P	chr1	158461009	158461950	HGNC Symbol	pseudogene
ENSG00000264500	MIR3124	chr1	249120576	249120642	HGNC Symbol	miRNA
ENSG00000236290	EEF1GP7	chr1	53038786	53039488	HGNC Symbol	pseudogene
ENSG00000177868	CCDC23	chr1	43272723	43282954	HGNC Symbol	protein_coding
ENSG00000252650	RNA5SP75	chr1	204676448	204676558	HGNC Symbol	rRNA
ENSG00000233664	NDUFS5P3	chr1	53174794	53175114	HGNC Symbol	pseudogene
ENSG00000227445	OR10R1P	chr1	158484575	158485715	HGNC Symbol	pseudogene
ENSG00000200495	RNU6-1205P	chr1	249206889	249206994	HGNC Symbol	snRNA
ENSG00000239640	RN7SL62P	chr1	53180071	53180365	HGNC Symbol	misc_RNA
ENSG00000252018	RNU2-30P	chr1	53219994	53220134	HGNC Symbol	snRNA
ENSG00000243967	NBPF5P	chr1	108918460	108953436	HGNC Symbol	processed_transcript
ENSG00000206627	RNU6-969P	chr1	53270780	53270884	HGNC Symbol	snRNA
ENSG00000231237	OR6K1P	chr1	158664329	158665299	HGNC Symbol	pseudogene
ENSG00000235363	SNRPGP10	chr1	205320375	205320599	HGNC Symbol	pseudogene
ENSG00000264834	MIR1273F	chr1	53394346	53394444	HGNC Symbol	miRNA
ENSG00000266188	MIR5095	chr1	53400602	53400689	HGNC Symbol	miRNA
ENSG00000180437	OR6K4P	chr1	158693903	158694902	HGNC Symbol	pseudogene
ENSG00000226235	LEMD1-AS1	chr1	205342380	205356568	HGNC Symbol	antisense
ENSG00000265815	MIR1273G	chr1	53405986	53406085	HGNC Symbol	miRNA
ENSG00000238118	SLC25A24P2	chr1	108926358	108963917	HGNC Symbol	pseudogene
ENSG00000199059	MIR135B	chr1	205417430	205417526	HGNC Symbol	miRNA
ENSG00000226949	OR6K5P	chr1	158711936	158713205	HGNC Symbol	pseudogene
ENSG00000224966	TBC1D3P6	chr1	16316366	16321246	HGNC Symbol	pseudogene
ENSG00000227832	ST13P21	chr1	109044980	109046077	HGNC Symbol	pseudogene
ENSG00000253097	RNU2-19P	chr1	205535844	205535927	HGNC Symbol	snRNA
ENSG00000226147	TUBBP10	chr1	53460398	53461698	HGNC Symbol	pseudogene
ENSG00000229724	OR2AQ1P	chr1	158765804	158766003	HGNC Symbol	pseudogene
ENSG00000206762	RNU6-418P	chr1	205564169	205564275	HGNC Symbol	snRNA
ENSG00000180409	OR10AA1P	chr1	158778189	158779125	HGNC Symbol	pseudogene
ENSG00000227644	HIGD1AP11	chr1	53538782	53539061	HGNC Symbol	pseudogene
ENSG00000203897	SPATA42	chr1	109399839	109401146	HGNC Symbol	antisense
ENSG00000196517	SLC6A9	chr1	44457172	44497139	HGNC Symbol	protein_coding
ENSG00000233473	RAD1P2	chr1	159050923	159051585	HGNC Symbol	pseudogene
ENSG00000164010	ERMAP	chr1	43282795	43310660	HGNC Symbol	protein_coding
ENSG00000222552	RNA5SP60	chr1	159148263	159148349	HGNC Symbol	rRNA
ENSG00000234166	ARHGEF19-AS1	chr1	16524349	16524852	HGNC Symbol	antisense
ENSG00000237276	ANO7P1	chr1	16542404	16554522	HGNC Symbol	pseudogene
ENSG00000215846	MPTX1	chr1	159246293	159247282	HGNC Symbol	pseudogene
ENSG00000233501	SRGAP2-AS1	chr1	206552219	206554954	HGNC Symbol	antisense
ENSG00000228054	RANP5	chr1	109589450	109590104	HGNC Symbol	pseudogene
ENSG00000248642	OR10J2P	chr1	159248831	159249791	HGNC Symbol	pseudogene
ENSG00000270066	SCARNA2	chr1	109642815	109643241	HGNC Symbol	lincRNA
ENSG00000236253	SLC25A3P1	chr1	53878821	53905693	HGNC Symbol	pseudogene
ENSG00000233929	MT1XP1	chr1	16567708	16567893	HGNC Symbol	pseudogene
ENSG00000238310	RNU7-122P	chr1	109750416	109750470	HGNC Symbol	snRNA
ENSG00000203827	NBPF16	chr1	148739443	148758311	HGNC Symbol	protein_coding
ENSG00000206832	RNU6V	chr1	110134156	110134262	HGNC Symbol	snRNA
ENSG00000248442	OR10J7P	chr1	159320883	159321816	HGNC Symbol	pseudogene
ENSG00000207709	MIR197	chr1	110141515	110141589	HGNC Symbol	miRNA
ENSG00000235045	RPL7P8	chr1	110193992	110194721	HGNC Symbol	pseudogene
ENSG00000239007	RNU7-95P	chr1	54154422	54154485	HGNC Symbol	snRNA
ENSG00000122180	MYOG	chr1	203052260	203055164	HGNC Symbol	protein_coding
ENSG00000251686	OR10J8P	chr1	159335951	159336879	HGNC Symbol	pseudogene
ENSG00000224462	C4BPAP1	chr1	207338841	207357255	HGNC Symbol	pseudogene
ENSG00000117448	AKR1A1	chr1	46016215	46035721	HGNC Symbol	protein_coding
ENSG00000219102	HNRNPA3P12	chr1	54440642	54441704	HGNC Symbol	pseudogene
ENSG00000224927	NDUFA5P10	chr1	110353264	110353620	HGNC Symbol	pseudogene
ENSG00000080947	CROCCP3	chr1	16793931	16825752	HGNC Symbol	pseudogene
ENSG00000264208	MIR4781	chr1	54519752	54519827	HGNC Symbol	miRNA
ENSG00000249197	OR10J9P	chr1	159375213	159376199	HGNC Symbol	pseudogene
ENSG00000227453	HNRNPA1P63	chr1	55002469	55003431	HGNC Symbol	pseudogene
ENSG00000163485	ADORA1	chr1	203059782	203136533	HGNC Symbol	protein_coding
ENSG00000224965	KCNC4-AS1	chr1	110751456	110752609	HGNC Symbol	antisense
ENSG00000271890	OR10AE1P	chr1	159551410	159552438	HGNC Symbol	pseudogene
ENSG00000158731	OR10J6P	chr1	159568088	159569017	HGNC Symbol	pseudogene
ENSG00000223603	CRPP1	chr1	159674773	159675397	HGNC Symbol	pseudogene
ENSG00000232621	C4BPAP2	chr1	207399143	207402547	HGNC Symbol	pseudogene
ENSG00000231095	GYG1P3	chr1	55688052	55689045	HGNC Symbol	pseudogene
ENSG00000224699	LAMTOR5-AS1	chr1	110925441	110974982	HGNC Symbol	antisense
ENSG00000203818	HIST2H3PS2	chr1	149400131	149400542	HGNC Symbol	protein_coding
ENSG00000265822	MIR4422	chr1	55691314	55691396	HGNC Symbol	miRNA
ENSG00000206652	RNU1-1	chr1	16840617	16840780	HGNC Symbol	snRNA
ENSG00000231900	GOT2P1	chr1	55833139	55834447	HGNC Symbol	pseudogene
ENSG00000224259	LINC01133	chr1	159931008	159948851	HGNC Symbol	lincRNA
ENSG00000164011	ZNF691	chr1	43312280	43318148	HGNC Symbol	protein_coding
ENSG00000133055	MYBPH	chr1	203136939	203144941	HGNC Symbol	protein_coding
ENSG00000244703	CD46P1	chr1	207818579	207830755	HGNC Symbol	pseudogene
ENSG00000203817	FAM72C	chr1	149438750	149459549	HGNC Symbol	protein_coding
ENSG00000199831	RN7SKP291	chr1	55842199	55842525	HGNC Symbol	misc_RNA
ENSG00000252162	RNU6-830P	chr1	55864187	55864293	HGNC Symbol	snRNA
ENSG00000215908	CROCCP2	chr1	16944751	16971178	HGNC Symbol	lincRNA
ENSG00000198161	PPIAL4C	chr1	149553003	149553787	HGNC Symbol	protein_coding
ENSG00000240194	CYMP	chr1	111023374	111033899	HGNC Symbol	pseudogene
ENSG00000227104	PIGQP1	chr1	56404387	56404953	HGNC Symbol	pseudogene
ENSG00000203709	C1orf132	chr1	207974863	208042495	HGNC Symbol	processed_transcript
ENSG00000203815	FAM231D	chr1	149675978	149676609	HGNC Symbol	protein_coding
ENSG00000235082	SUMO1P3	chr1	160287193	160287496	HGNC Symbol	pseudogene
ENSG00000201608	RNU4-42P	chr1	160362558	160362699	HGNC Symbol	snRNA
ENSG00000235101	SETP9	chr1	160639938	160640769	HGNC Symbol	pseudogene
ENSG00000227887	RPS26P13	chr1	208870714	208871043	HGNC Symbol	pseudogene
ENSG00000150337	FCGR1A	chr1	149754227	149764074	HGNC Symbol	protein_coding
ENSG00000237415	NRBF2P3	chr1	111390699	111391563	HGNC Symbol	pseudogene
ENSG00000236776	RPL21P23	chr1	57004124	57004583	HGNC Symbol	pseudogene
ENSG00000186301	MST1P2	chr1	16972069	16976914	HGNC Symbol	pseudogene
ENSG00000232791	OR11I1P	chr1	111396560	111397513	HGNC Symbol	pseudogene
ENSG00000225672	CCNT2P1	chr1	111550322	111558152	HGNC Symbol	pseudogene
ENSG00000133048	CHI3L1	chr1	203148059	203155877	HGNC Symbol	protein_coding
ENSG00000252760	RNA5SP54	chr1	111584456	111584547	HGNC Symbol	rRNA
ENSG00000236040	CHIAP1	chr1	111792876	111799337	HGNC Symbol	pseudogene
ENSG00000225712	ATP5G2P1	chr1	209441143	209441568	HGNC Symbol	pseudogene
ENSG00000236888	RPS20P5	chr1	58071519	58071878	HGNC Symbol	pseudogene
ENSG00000117394	SLC2A1	chr1	43391052	43424530	HGNC Symbol	protein_coding
ENSG00000263548	MIR5187	chr1	161196976	161197051	HGNC Symbol	miRNA
ENSG00000203878	CHIAP2	chr1	111822681	111828738	HGNC Symbol	pseudogene
ENSG00000236484	RRM2P2	chr1	161348497	161349148	HGNC Symbol	pseudogene
ENSG00000226759	DAB1-AS1	chr1	58326204	58346577	HGNC Symbol	antisense
ENSG00000230937	MIR205HG	chr1	209602165	209606183	HGNC Symbol	lincRNA
ENSG00000206921	RNU6-481P	chr1	161371079	161371185	HGNC Symbol	snRNA
ENSG00000224203	RPS23P10	chr1	161506361	161507948	HGNC Symbol	pseudogene
ENSG00000229887	HNRNPA1P6	chr1	58513847	58514963	HGNC Symbol	pseudogene
ENSG00000234020	CHIAP3	chr1	111895897	111910031	HGNC Symbol	pseudogene
ENSG00000223416	RPS26P15	chr1	58521805	58522152	HGNC Symbol	pseudogene
ENSG00000225217	HSPA7	chr1	161576081	161578007	HGNC Symbol	pseudogene
ENSG00000231586	RPS23P9	chr1	161587782	161589375	HGNC Symbol	pseudogene
ENSG00000264128	RN7SL713P	chr1	59031301	59031604	HGNC Symbol	misc_RNA
ENSG00000207513	RNU1-3	chr1	16993280	16993443	HGNC Symbol	snRNA
ENSG00000236698	EIF1AXP1	chr1	17012116	17012550	HGNC Symbol	pseudogene
ENSG00000234807	LINC01135	chr1	59250823	59365384	HGNC Symbol	lincRNA
ENSG00000213075	RPL31P11	chr1	161653485	161655042	HGNC Symbol	pseudogene
ENSG00000268869	ESPNP	chr1	17013834	17046652	HGNC Symbol	pseudogene
ENSG00000203814	HIST2H2BF	chr1	149754245	149783928	HGNC Symbol	protein_coding
ENSG00000264831	MIR4260	chr1	209796789	209796855	HGNC Symbol	miRNA
ENSG00000241347	RN7SL466P	chr1	161705598	161705889	HGNC Symbol	misc_RNA
ENSG00000228121	PHBP3	chr1	59465348	59466166	HGNC Symbol	pseudogene
ENSG00000236012	HIGD1AP12	chr1	111922913	111923193	HGNC Symbol	pseudogene
ENSG00000203706	SERTAD4-AS1	chr1	210404801	210407392	HGNC Symbol	antisense
ENSG00000183598	HIST2H3D	chr1	149784826	149785236	HGNC Symbol	protein_coding
ENSG00000266144	MIR4654	chr1	162126897	162126972	HGNC Symbol	miRNA
ENSG00000252262	RNA5SP61	chr1	162308433	162308532	HGNC Symbol	rRNA
ENSG00000207729	MIR556	chr1	162312336	162312430	HGNC Symbol	miRNA
ENSG00000131238	PPT1	chr1	40538379	40563375	HGNC Symbol	protein_coding
ENSG00000227179	PGCP1	chr1	111925482	111934441	HGNC Symbol	pseudogene
ENSG00000227243	SLAMF6P1	chr1	162415339	162415676	HGNC Symbol	pseudogene
ENSG00000183941	HIST2H4A	chr1	149804221	149811339	HGNC Symbol	protein_coding
ENSG00000227941	UQCRBP2	chr1	162511122	162511418	HGNC Symbol	pseudogene
ENSG00000228110	ST13P19	chr1	210438981	210440587	HGNC Symbol	pseudogene
ENSG00000207389	RNU1-4	chr1	17067011	17067174	HGNC Symbol	snRNA
ENSG00000243173	RN7SL861P	chr1	162747520	162747802	HGNC Symbol	misc_RNA
ENSG00000227684	CROCCP4	chr1	17076728	17077459	HGNC Symbol	pseudogene
ENSG00000266150	MIR4711	chr1	60198899	60198968	HGNC Symbol	miRNA
ENSG00000200972	RNU5A-8P	chr1	210547498	210547611	HGNC Symbol	snRNA
ENSG00000224668	IPO8P1	chr1	211032519	211035627	HGNC Symbol	pseudogene
ENSG00000186715	MST1L	chr1	17081405	17096732	HGNC Symbol	pseudogene
ENSG00000265535	RN7SL475P	chr1	60440431	60440726	HGNC Symbol	misc_RNA
ENSG00000229332	PGBD4P8	chr1	60563087	60563648	HGNC Symbol	pseudogene
ENSG00000234233	KCNH1-IT1	chr1	211305930	211306716	HGNC Symbol	sense_intronic
ENSG00000233337	UBE2FP3	chr1	111980136	111980659	HGNC Symbol	pseudogene
ENSG00000153363	LINC00467	chr1	211556145	211605878	HGNC Symbol	processed_transcript
ENSG00000133063	CHIT1	chr1	203181955	203242769	HGNC Symbol	protein_coding
ENSG00000200360	RNU6-792P	chr1	112032939	112033045	HGNC Symbol	snRNA
ENSG00000231346	LINC01160	chr1	112142277	112151345	HGNC Symbol	lincRNA
ENSG00000203811	HIST2H3C	chr1	149811110	149812765	HGNC Symbol	protein_coding
ENSG00000215867	KRT18P57	chr1	112190913	112192166	HGNC Symbol	pseudogene
ENSG00000200575	RNU6-414P	chr1	62282091	62282194	HGNC Symbol	snRNA
ENSG00000212360	RNU6-1177P	chr1	62318171	62318274	HGNC Symbol	snRNA
ENSG00000201028	RNU6-151P	chr1	112193053	112193159	HGNC Symbol	snRNA
ENSG00000236646	LAMTOR5P1	chr1	62504514	62504783	HGNC Symbol	pseudogene
ENSG00000236809	SNX25P1	chr1	211590367	211591276	HGNC Symbol	pseudogene
ENSG00000227811	FAM212B-AS1	chr1	112282463	112290420	HGNC Symbol	antisense
ENSG00000183558	HIST2H2AA3	chr1	149813505	149814478	HGNC Symbol	protein_coding
ENSG00000238137	ARPC3P2	chr1	211615616	211616148	HGNC Symbol	pseudogene
ENSG00000242860	RN7SL180P	chr1	62538120	62538411	HGNC Symbol	misc_RNA
ENSG00000263908	MIR3116-2	chr1	62544458	62544531	HGNC Symbol	miRNA
ENSG00000234204	PIGPP2	chr1	62654803	62655625	HGNC Symbol	pseudogene
ENSG00000200327	RNA5SP62	chr1	163438286	163438395	HGNC Symbol	rRNA
ENSG00000212527	RNA5SP63	chr1	163479274	163479385	HGNC Symbol	rRNA
ENSG00000263811	MIR3675	chr1	17185444	17185516	HGNC Symbol	miRNA
ENSG00000234088	RPS15AP7	chr1	62656194	62656598	HGNC Symbol	pseudogene
ENSG00000232558	KCND3-IT1	chr1	112396384	112399527	HGNC Symbol	sense_intronic
ENSG00000090686	USP48	chr1	22004791	22110099	HGNC Symbol	protein_coding
ENSG00000225719	NMNAT1P2	chr1	164312242	164313101	HGNC Symbol	pseudogene
ENSG00000237556	KCND3-AS1	chr1	112451958	112453553	HGNC Symbol	antisense
ENSG00000203812	HIST2H2AA4	chr1	149822643	149823191	HGNC Symbol	protein_coding
ENSG00000186973	FAM183A	chr1	43610824	43622067	HGNC Symbol	protein_coding
ENSG00000224763	FDPSP8	chr1	211833531	211834619	HGNC Symbol	pseudogene
ENSG00000199849	RNU5F-6P	chr1	164320510	164320625	HGNC Symbol	snRNA
ENSG00000213070	HMGB3P6	chr1	164326004	164326601	HGNC Symbol	pseudogene
ENSG00000201153	RNU6-371P	chr1	62763821	62763928	HGNC Symbol	snRNA
ENSG00000207082	RNU6-171P	chr1	164608802	164608908	HGNC Symbol	snRNA
ENSG00000207005	RNU1-2	chr1	17222475	17222638	HGNC Symbol	snRNA
ENSG00000203852	HIST2H3A	chr1	149824181	149825836	HGNC Symbol	protein_coding
ENSG00000241395	RN7SL344P	chr1	211965455	211965748	HGNC Symbol	misc_RNA
ENSG00000171872	KLF17	chr1	44584522	44600812	HGNC Symbol	protein_coding
ENSG00000234388	TXNP3	chr1	112905903	112906203	HGNC Symbol	pseudogene
ENSG00000266634	MIR3972	chr1	17604384	17604470	HGNC Symbol	miRNA
ENSG00000256049	PADI6	chr1	17698691	17728195	HGNC Symbol	processed_transcript
ENSG00000201270	RNU6-755P	chr1	164949272	164949374	HGNC Symbol	snRNA
ENSG00000235299	MRPL53P1	chr1	113168528	113168846	HGNC Symbol	pseudogene
ENSG00000252750	RNU7-70P	chr1	113177341	113177406	HGNC Symbol	snRNA
ENSG00000220749	RPL21P28	chr1	212224829	212225371	HGNC Symbol	pseudogene
ENSG00000252259	RNA5SP49	chr1	63652007	63652121	HGNC Symbol	rRNA
ENSG00000264358	MIR3122	chr1	212250955	212251027	HGNC Symbol	miRNA
ENSG00000182217	HIST2H4B	chr1	149825607	149832714	HGNC Symbol	protein_coding
ENSG00000224209	LINC00466	chr1	63655660	63782902	HGNC Symbol	lincRNA
ENSG00000252879	RN7SKP98	chr1	212272863	212273018	HGNC Symbol	misc_RNA
ENSG00000201544	SNORA16B	chr1	212526158	212526292	HGNC Symbol	snoRNA
ENSG00000229020	AKR7A2P1	chr1	113466045	113466959	HGNC Symbol	pseudogene
ENSG00000226419	SLC16A1-AS1	chr1	113499037	113542118	HGNC Symbol	antisense
ENSG00000117395	EBNA1BP2	chr1	43629846	43736607	HGNC Symbol	protein_coding
ENSG00000184678	HIST2H2BE	chr1	149856010	149858232	HGNC Symbol	protein_coding
ENSG00000264590	RN7SL512P	chr1	212789050	212789295	HGNC Symbol	misc_RNA
ENSG00000264271	RN7SL488P	chr1	63995288	63995569	HGNC Symbol	misc_RNA
ENSG00000251720	RNU7-123P	chr1	64002382	64002441	HGNC Symbol	snRNA
ENSG00000237278	RLIMP2	chr1	113667943	113669505	HGNC Symbol	pseudogene
ENSG00000244256	RN7SL130P	chr1	64121414	64121716	HGNC Symbol	misc_RNA
ENSG00000228056	CFL1P3	chr1	64308862	64309356	HGNC Symbol	pseudogene
ENSG00000207491	RNU6-423P	chr1	212865606	212865709	HGNC Symbol	snRNA
ENSG00000159388	BTG2	chr1	203274619	203278730	HGNC Symbol	protein_coding
ENSG00000132780	NASP	chr1	46049518	46084566	HGNC Symbol	protein_coding
ENSG00000184260	HIST2H2AC	chr1	149858525	149858961	HGNC Symbol	protein_coding
ENSG00000207190	RNU6-809P	chr1	64494566	64494672	HGNC Symbol	snRNA
ENSG00000198468	FLVCR1-AS1	chr1	213025450	213031430	HGNC Symbol	lincRNA
ENSG00000178028	DMAP1	chr1	44679127	44686353	HGNC Symbol	protein_coding
ENSG00000184270	HIST2H2AB	chr1	149859019	149859466	HGNC Symbol	protein_coding
ENSG00000238653	RNU7-62P	chr1	64850081	64850142	HGNC Symbol	snRNA
ENSG00000264470	MIR4794	chr1	65045530	65045606	HGNC Symbol	miRNA
ENSG00000265606	MIR4695	chr1	19209696	19209769	HGNC Symbol	miRNA
ENSG00000221662	MIR1290	chr1	19223565	19223642	HGNC Symbol	miRNA
ENSG00000228646	RPL31P13	chr1	213602051	213602420	HGNC Symbol	pseudogene
ENSG00000122176	FMOD	chr1	203309756	203320617	HGNC Symbol	protein_coding
ENSG00000207341	RNA5SP64	chr1	166011481	166011587	HGNC Symbol	rRNA
ENSG00000238256	MTND5P20	chr1	114119379	114119521	HGNC Symbol	pseudogene
ENSG00000215952	MIR921	chr1	166123980	166124035	HGNC Symbol	miRNA
ENSG00000178096	BOLA1	chr1	149859440	149872351	HGNC Symbol	protein_coding
ENSG00000200403	RNU6-1099P	chr1	19631570	19631676	HGNC Symbol	snRNA
ENSG00000265192	RN7SL85P	chr1	19646299	19646554	HGNC Symbol	misc_RNA
ENSG00000240490	RN7SL277P	chr1	19750878	19751163	HGNC Symbol	misc_RNA
ENSG00000201609	RNU4-28P	chr1	19837087	19837227	HGNC Symbol	snRNA
ENSG00000230461	PROX1-AS1	chr1	213991094	214160973	HGNC Symbol	antisense
ENSG00000226396	RPS14P3	chr1	19934608	19935062	HGNC Symbol	pseudogene
ENSG00000185031	SLC2A3P2	chr1	65450291	65451770	HGNC Symbol	pseudogene
ENSG00000230231	FMO7P	chr1	166443982	166450802	HGNC Symbol	pseudogene
ENSG00000226167	AP4B1-AS1	chr1	114399257	114443859	HGNC Symbol	antisense
ENSG00000242688	RN7SL304P	chr1	20297462	20297760	HGNC Symbol	misc_RNA
ENSG00000212257	RNU6-1176P	chr1	65488651	65488757	HGNC Symbol	snRNA
ENSG00000265996	MIR3671	chr1	65523438	65523525	HGNC Symbol	miRNA
ENSG00000199135	MIR101-1	chr1	65524117	65524191	HGNC Symbol	miRNA
ENSG00000225986	UBXN10-AS1	chr1	20510735	20512979	HGNC Symbol	antisense
ENSG00000236963	LINC01141	chr1	20687072	20757727	HGNC Symbol	lincRNA
ENSG00000215819	KRT18P12	chr1	214705538	214706810	HGNC Symbol	pseudogene
ENSG00000238087	FMO8P	chr1	166535415	166549942	HGNC Symbol	pseudogene
ENSG00000188783	PRELP	chr1	203444956	203460480	HGNC Symbol	protein_coding
ENSG00000234496	MRPS21P1	chr1	65558075	65558297	HGNC Symbol	pseudogene
ENSG00000117000	RLF	chr1	40627045	40706593	HGNC Symbol	protein_coding
ENSG00000250536	ABHD17AP3	chr1	214778813	214782183	HGNC Symbol	pseudogene
ENSG00000234144	COX6CP13	chr1	65764438	65764663	HGNC Symbol	pseudogene
ENSG00000215520	RPS4XP4	chr1	20852482	20853244	HGNC Symbol	pseudogene
ENSG00000185221	GAPDHP24	chr1	215044077	215045059	HGNC Symbol	pseudogene
ENSG00000222624	RNU2-15P	chr1	65881499	65881689	HGNC Symbol	snRNA
